driver_id,driver_label,global_theme,ticker,name,region,benchmark,peer_role,price,ret_5d,ret_20d,ret_60d,ma20,ma60,above_ma20,above_ma60,rs_20d_vs_local_benchmark,trend
POWER_DISCRETE_CYCLE,Power discrete / MOSFET / SiC cycle,Power_Discrete,ON,onsemi,US,SPY,DIRECT_PEER,73.19999694824219,0.029825479214623085,-0.12209163636975862,-0.39812534702233116,73.51599998474121,84.87716674804688,False,False,-0.10231609364171212,DOWN
POWER_DISCRETE_CYCLE,Power discrete / MOSFET / SiC cycle,Power_Discrete,IFX.DE,Infineon Technologies,EU,^STOXX,DIRECT_PEER,55.130001068115234,-0.03195785198318368,-0.03686234361424423,-0.3156653086040935,55.90300025939941,63.62016696929932,False,False,-0.015316227697495965,DOWN
POWER_DISCRETE_CYCLE,Power discrete / MOSFET / SiC cycle,Power_Discrete,STMPA.PA,STMicroelectronics,EU,^STOXX,DIRECT_PEER,42.845001220703125,-0.03988792782738093,-0.05440300326366665,-0.32495666619386143,43.309000396728514,50.39925015767415,False,False,-0.032856887346918384,DOWN
POWER_DISCRETE_CYCLE,Power discrete / MOSFET / SiC cycle,Power_Discrete,VSH,Vishay Intertechnology,US,SPY,RELATED_PEER,31.43000030517578,-0.0012710203066873538,-0.11663859787260411,-0.5157164935867828,31.32249984741211,38.16433302561442,True,False,-0.09686305514455762,MIXED
HIGH_LAYER_PCB_DEMAND,High-layer / high-speed PCB demand,PCB_Interconnect,TTMI,TTM Technologies,US,SPY,DIRECT_PEER,112.45999908447266,-0.13057600480920206,-0.2022981806453219,-0.48041028545581643,118.52050018310547,138.154833984375,False,False,-0.1825226379172754,DOWN
HIGH_LAYER_PCB_DEMAND,High-layer / high-speed PCB demand,PCB_Interconnect,4062.T,IBIDEN,JP,^N225,RELATED_PEER,18950.0,-0.11531279178338005,-0.038802941922394085,-0.28287606433301793,20059.5,19862.083333333332,False,False,-0.017319722197220666,MIXED
PACKAGE_SUBSTRATE_DEMAND,IC package substrate demand,PCB_Interconnect,4062.T,IBIDEN,JP,^N225,DIRECT_PEER,18950.0,-0.11531279178338005,-0.038802941922394085,-0.28287606433301793,20059.5,19862.083333333332,False,False,-0.017319722197220666,MIXED
PACKAGE_SUBSTRATE_DEMAND,IC package substrate demand,PCB_Interconnect,TTMI,TTM Technologies,US,SPY,RELATED_PEER,112.45999908447266,-0.13057600480920206,-0.2022981806453219,-0.48041028545581643,118.52050018310547,138.154833984375,False,False,-0.1825226379172754,DOWN
CCL_LOW_LOSS_MATERIAL_DEMAND,High-speed / low-loss CCL material demand,PCB_Interconnect,TTMI,TTM Technologies,US,SPY,DOWNSTREAM_PEER,112.45999908447266,-0.13057600480920206,-0.2022981806453219,-0.48041028545581643,118.52050018310547,138.154833984375,False,False,-0.1825226379172754,DOWN
CCL_LOW_LOSS_MATERIAL_DEMAND,High-speed / low-loss CCL material demand,PCB_Interconnect,4062.T,IBIDEN,JP,^N225,DOWNSTREAM_PEER,18950.0,-0.11531279178338005,-0.038802941922394085,-0.28287606433301793,20059.5,19862.083333333332,False,False,-0.017319722197220666,MIXED
HIGH_SPEED_CONNECTOR_DEMAND,High-speed data-center / networking connector demand,Connector,APH,Amphenol,US,SPY,DIRECT_PEER,77.6500015258789,-0.0502690863865608,-0.09112186170984171,-0.05281778060196274,79.97425003051758,80.5893330891927,False,False,-0.07134631898179522,DOWN
HIGH_SPEED_CONNECTOR_DEMAND,High-speed data-center / networking connector demand,Connector,TEL,TE Connectivity,US,SPY,DIRECT_PEER,201.4199981689453,-0.01741551894508242,-0.07341984706675797,-0.07452674722565078,204.58400115966796,205.4073341369629,False,False,-0.05364430433871148,DOWN
HIGH_SPEED_CONNECTOR_DEMAND,High-speed data-center / networking connector demand,Connector,6806.T,Hirose Electric,JP,^N225,DIRECT_PEER,24495.0,0.02553904123927153,-0.02643084260731321,-0.21866028708133967,24969.75,26807.166666666668,False,False,-0.0049476228821397905,DOWN
MLCC_DEMAND_PRICING,MLCC demand / pricing cycle,MLCC,6981.T,Murata,JP,^N225,DIRECT_PEER,7633.0,0.07084736251402912,0.04119492565816407,-0.3768979591836734,7236.2,8270.783333333333,True,False,0.06267814538333749,MIXED
MLCC_DEMAND_PRICING,MLCC demand / pricing cycle,MLCC,6976.T,Taiyo Yuden,JP,^N225,DIRECT_PEER,9364.0,0.043691484618814114,-0.03324385711335953,-0.4664387464387464,9194.15,11935.233333333334,True,False,-0.011760637388186113,MIXED
MLCC_DEMAND_PRICING,MLCC demand / pricing cycle,MLCC,009150.KS,Samsung Electro-Mechanics,KR,^KS11,DIRECT_PEER,1381000.0,-0.01638176638176636,-0.004325883201153569,-0.38016157989228005,1381400.0,1456100.0,False,False,-0.04246431812842555,DOWN
PASSIVE_CAPACITOR_CYCLE,Non-MLCC capacitor demand / utilization cycle,Passive_Components,6996.T,Nichicon,JP,^N225,DIRECT_PEER,2656.0,0.04773175542406305,-0.015931826602445298,-0.4104328523862375,2628.95,3119.3333333333335,True,False,0.005551393122728121,MIXED
PASSIVE_CAPACITOR_CYCLE,Non-MLCC capacitor demand / utilization cycle,Passive_Components,6997.T,Nippon Chemi-Con,JP,^N225,DIRECT_PEER,2850.0,0.043573782497253744,0.036363636363636376,-0.5094664371772806,2756.9,3476.633333333333,True,False,0.057846856088809795,MIXED
PASSIVE_CAPACITOR_CYCLE,Non-MLCC capacitor demand / utilization cycle,Passive_Components,VSH,Vishay Intertechnology,US,SPY,RELATED_PEER,31.43000030517578,-0.0012710203066873538,-0.11663859787260411,-0.5157164935867828,31.32249984741211,38.16433302561442,True,False,-0.09686305514455762,MIXED
